"Designator","Mid X","Mid Y","Layer","Rotation"
"J1","16.1752mm","11.3202mm","Bottom","270"
"D3","12.0690mm","11.0891mm","Bottom","270"
"D2","12.7548mm","12.4441mm","Bottom","90"
"D1","11.0130mm","13.4275mm","Bottom","360"
"ROTARY_ENCODER","6.7704mm","8.0048mm","TopLayer","180"
"DBG","17.2742mm","3.6010mm","Bottom","270"
"U1","6.7704mm","10.6167mm","Bottom","360"
"R5","11.0750mm","3.6010mm","Bottom","180"
"C2","8.2369mm","13.0006mm","Bottom","180"
"C1","8.3079mm","8.4033mm","Bottom","360"
"F1","12.0590mm","14.7887mm","Bottom","180"
"R3","5.0992mm","12.7956mm","Bottom","180"
"R2","1.8299mm","15.0774mm","Bottom","180"
"R1","4.2704mm","2.8665mm","Bottom","90"
"C5","5.8492mm","2.8260mm","Bottom","90"
"C4","1.8803mm","13.7720mm","Bottom","180"
"C3","2.4267mm","11.6173mm","Bottom","90"
"R4","10.7683mm","10.5911mm","Bottom","90"
"D4","9.5000mm","2.1287mm","Bottom","180"
