Designator,Mid X,Mid Y,Layer,Rotation
R1,15.7208,9.3678,Bottom,180
D1,9.1378,15.6567,Bottom,270
U1,14.1464,13.533,Bottom,90
USB,23.1723,15.32,Bottom,270
R10,19.8875,7.81,Bottom,180
R8,15.7246,17.6786,Bottom,180
R7,11.978,17.1713,Bottom,270
R6,12.0214,9.3678,Bottom,90
F2,19.4114,18.1286,Bottom,180
D8,18.6144,16.4708,Bottom,270
D7,20.0825,16.42,Bottom,90
D6,19.8285,14.5462,Bottom,270
C7,17.8764,11.7751,Bottom,90
C6,15.6958,10.7413,Bottom,360
R1,15.7208,28.3678,Bottom,180
D1,9.1378,34.6567,Bottom,270
U1,14.1464,32.533,Bottom,90
USB,23.1723,34.32,Bottom,270
R10,19.8875,26.81,Bottom,180
R8,15.7246,36.6786,Bottom,180
R7,11.978,36.1713,Bottom,270
R6,12.0214,28.3678,Bottom,90
F2,19.4114,37.1286,Bottom,180
D8,18.6144,35.4708,Bottom,270
D7,20.0825,35.42,Bottom,90
D6,19.8285,33.5462,Bottom,270
C7,17.8764,30.7751,Bottom,90
C6,15.6958,29.7413,Bottom,360
R1,15.7208,47.3678,Bottom,180
D1,9.1378,53.6567,Bottom,270
U1,14.1464,51.533,Bottom,90
USB,23.1723,53.32,Bottom,270
R10,19.8875,45.81,Bottom,180
R8,15.7246,55.6786,Bottom,180
R7,11.978,55.1713,Bottom,270
R6,12.0214,47.3678,Bottom,90
F2,19.4114,56.1286,Bottom,180
D8,18.6144,54.4708,Bottom,270
D7,20.0825,54.42,Bottom,90
D6,19.8285,52.5462,Bottom,270
C7,17.8764,49.7751,Bottom,90
C6,15.6958,48.7413,Bottom,360
R1,15.7208,66.3678,Bottom,180
D1,9.1378,72.6567,Bottom,270
U1,14.1464,70.533,Bottom,90
USB,23.1723,72.32,Bottom,270
R10,19.8875,64.81,Bottom,180
R8,15.7246,74.6786,Bottom,180
R7,11.978,74.1713,Bottom,270
R6,12.0214,66.3678,Bottom,90
F2,19.4114,75.1286,Bottom,180
D8,18.6144,73.4708,Bottom,270
D7,20.0825,73.42,Bottom,90
D6,19.8285,71.5462,Bottom,270
C7,17.8764,68.7751,Bottom,90
C6,15.6958,67.7413,Bottom,360
R1,15.7208,85.3678,Bottom,180
D1,9.1378,91.6567,Bottom,270
U1,14.1464,89.533,Bottom,90
USB,23.1723,91.32,Bottom,270
R10,19.8875,83.81,Bottom,180
R8,15.7246,93.6786,Bottom,180
R7,11.978,93.1713,Bottom,270
R6,12.0214,85.3678,Bottom,90
F2,19.4114,94.1286,Bottom,180
D8,18.6144,92.4708,Bottom,270
